"utterance","prior","speaker_belief","speaker_prob"
"know-dances-?","Charley_H",9,0.370635028843845
"know-dances-?","Charley_H",8,0.255014135393376
"know-dances-?","Charley_H",7,0.203642559034704
"know-dances-?","Charley_H",6,0.0893609407198091
"know-dances-?","Charley_H",5,0.0431786633874056
"know-dances-?","Charley_H",4,0.0205449752483126
"know-dances-?","Charley_H",3,0.0151247778025639
"know-dances-?","Charley_H",2,0.00169346632293649
"know-dances-?","Charley_H",0,0.000660873652659612
"know-dances-?","Charley_H",1,0.0001445795943879
"know-dances-?","Charley_L",9,0.293657263279682
"know-dances-?","Charley_L",8,0.228260601995376
"know-dances-?","Charley_L",7,0.158865324990175
"know-dances-?","Charley_L",6,0.0727798321882837
"know-dances-?","Charley_L",1,0.0490692736423811
"know-dances-?","Charley_L",5,0.042839393120482
"know-dances-?","Charley_L",0,0.0418031505887494
"know-dances-?","Charley_L",3,0.0408516070233719
"know-dances-?","Charley_L",2,0.0398655177456414
"know-dances-?","Charley_L",4,0.0320080354258582
"know-dances-?","Danny_H",9,0.28628166803381
"know-dances-?","Danny_H",8,0.227341792308455
"know-dances-?","Danny_H",7,0.212691037127316
"know-dances-?","Danny_H",6,0.149997894590309
"know-dances-?","Danny_H",5,0.0875875683303251
"know-dances-?","Danny_H",4,0.0295483331749159
"know-dances-?","Danny_H",3,0.00313419254254012
"know-dances-?","Danny_H",1,0.00213668184916827
"know-dances-?","Danny_H",0,0.000640416021580255
"know-dances-?","Danny_H",2,0.000640416021580255
"know-dances-?","Danny_L",9,0.271435509614804
"know-dances-?","Danny_L",8,0.233188664481518
"know-dances-?","Danny_L",7,0.156994781149849
"know-dances-?","Danny_L",6,0.0850720913422928
"know-dances-?","Danny_L",1,0.0525401435072265
"know-dances-?","Danny_L",0,0.0520594175145492
"know-dances-?","Danny_L",5,0.0520222334840046
"know-dances-?","Danny_L",2,0.0390798199426491
"know-dances-?","Danny_L",3,0.0313897803871508
"know-dances-?","Danny_L",4,0.0262175585759572
"know-dances-?","Emily_H",9,0.302971710084874
"know-dances-?","Emily_H",8,0.237909965080654
"know-dances-?","Emily_H",7,0.171818986826264
"know-dances-?","Emily_H",6,0.090857906830863
"know-dances-?","Emily_H",5,0.0899631478350355
"know-dances-?","Emily_H",4,0.0552316609470361
"know-dances-?","Emily_H",3,0.0172014947812079
"know-dances-?","Emily_H",2,0.0166997989547771
"know-dances-?","Emily_H",0,0.0106794479589613
"know-dances-?","Emily_H",1,0.00666588070032721
"know-dances-?","Emily_L",9,0.32806940867473
"know-dances-?","Emily_L",8,0.207072953393551
"know-dances-?","Emily_L",7,0.131989817603646
"know-dances-?","Emily_L",0,0.127178602104678
"know-dances-?","Emily_L",6,0.0906452510055366
"know-dances-?","Emily_L",1,0.0375320409940975
"know-dances-?","Emily_L",5,0.0298074140273934
"know-dances-?","Emily_L",2,0.0212326660947081
"know-dances-?","Emily_L",3,0.0148120808830979
"know-dances-?","Emily_L",4,0.0116597652185621
"know-dances-?","Emma_H",9,0.311329034267079
"know-dances-?","Emma_H",8,0.266329396948582
"know-dances-?","Emma_H",7,0.196803438925534
"know-dances-?","Emma_H",6,0.109858559833284
"know-dances-?","Emma_H",5,0.0626568058972617
"know-dances-?","Emma_H",4,0.029703414934148
"know-dances-?","Emma_H",3,0.0195144841383858
"know-dances-?","Emma_H",1,0.00207446215696159
"know-dances-?","Emma_H",2,0.0015907574131526
"know-dances-?","Emma_H",0,0.00013964548561115
"know-dances-?","Emma_L",9,0.311326347112094
"know-dances-?","Emma_L",8,0.20398174057748
"know-dances-?","Emma_L",7,0.157407034882112
"know-dances-?","Emma_L",6,0.0785903105747424
"know-dances-?","Emma_L",5,0.0631251873813818
"know-dances-?","Emma_L",0,0.0538568711581364
"know-dances-?","Emma_L",1,0.0470203029863525
"know-dances-?","Emma_L",3,0.0305616147367312
"know-dances-?","Emma_L",2,0.0304172085830191
"know-dances-?","Emma_L",4,0.023713382007951
"know-dances-?","Frank_H",9,0.330540149460458
"know-dances-?","Frank_H",8,0.238641785019022
"know-dances-?","Frank_H",7,0.195419767160545
"know-dances-?","Frank_H",6,0.111572428525404
"know-dances-?","Frank_H",5,0.0832176868927423
"know-dances-?","Frank_H",4,0.029813311489171
"know-dances-?","Frank_H",3,0.00501091874687035
"know-dances-?","Frank_H",2,0.00355058135793339
"know-dances-?","Frank_H",1,0.00160346476779425
"know-dances-?","Frank_H",0,0.000629906580059477
"know-dances-?","Frank_L",9,0.27198073510005
"know-dances-?","Frank_L",8,0.229929673098903
"know-dances-?","Frank_L",7,0.1575492350645
"know-dances-?","Frank_L",0,0.130313202206345
"know-dances-?","Frank_L",6,0.0789290378559541
"know-dances-?","Frank_L",5,0.0465147863532093
"know-dances-?","Frank_L",1,0.0428691361863327
"know-dances-?","Frank_L",2,0.017033389441286
"know-dances-?","Frank_L",4,0.0145502077275906
"know-dances-?","Frank_L",3,0.0103305969658294
"know-dances-?","Grace_H",9,0.341282792974998
"know-dances-?","Grace_H",8,0.282800494743025
"know-dances-?","Grace_H",7,0.18209580846009
"know-dances-?","Grace_H",6,0.121836415960014
"know-dances-?","Grace_H",5,0.0440956628201836
"know-dances-?","Grace_H",4,0.0182341530034721
"know-dances-?","Grace_H",3,0.00637297781915381
"know-dances-?","Grace_H",2,0.00204372342371158
"know-dances-?","Grace_H",1,0.00109389728070823
"know-dances-?","Grace_H",0,0.000144073514644472
"know-dances-?","Grace_L",9,0.279824197887005
"know-dances-?","Grace_L",8,0.232255428589597
"know-dances-?","Grace_L",7,0.145179407822892
"know-dances-?","Grace_L",6,0.101231639618463
"know-dances-?","Grace_L",0,0.0631124499589692
"know-dances-?","Grace_L",1,0.0539636922357084
"know-dances-?","Grace_L",2,0.0458912591456413
"know-dances-?","Grace_L",3,0.0288673651403866
"know-dances-?","Grace_L",5,0.02742089257004
"know-dances-?","Grace_L",4,0.022253667031298
"know-dances-?","Isabella_H",9,0.269124024465887
"know-dances-?","Isabella_H",8,0.231017685368216
"know-dances-?","Isabella_H",7,0.168066162188896
"know-dances-?","Isabella_H",5,0.116665969352134
"know-dances-?","Isabella_H",6,0.100799682359409
"know-dances-?","Isabella_H",4,0.0669072496933802
"know-dances-?","Isabella_H",3,0.0227942114738313
"know-dances-?","Isabella_H",2,0.0114998309612789
"know-dances-?","Isabella_H",1,0.010512383009719
"know-dances-?","Isabella_H",0,0.00261280112724788
"know-dances-?","Isabella_L",9,0.289780816615168
"know-dances-?","Isabella_L",8,0.240903834204198
"know-dances-?","Isabella_L",0,0.168499768711426
"know-dances-?","Isabella_L",7,0.145436451309576
"know-dances-?","Isabella_L",6,0.063527505996779
"know-dances-?","Isabella_L",5,0.0314689080044163
"know-dances-?","Isabella_L",1,0.022869776218567
"know-dances-?","Isabella_L",4,0.0227584910768288
"know-dances-?","Isabella_L",2,0.0109921528905926
"know-dances-?","Isabella_L",3,0.00376229497244836
"know-dances-?","Jackson_H",9,0.361876954529442
"know-dances-?","Jackson_H",8,0.261591765405022
"know-dances-?","Jackson_H",7,0.183389219785444
"know-dances-?","Jackson_H",6,0.123207666612306
"know-dances-?","Jackson_H",5,0.0446271565908299
"know-dances-?","Jackson_H",4,0.0167749612477635
"know-dances-?","Jackson_H",3,0.0049169277435529
"know-dances-?","Jackson_H",2,0.00173537475202934
"know-dances-?","Jackson_H",0,0.00120511610083863
"know-dances-?","Jackson_H",1,0.000674857232772057
"know-dances-?","Jackson_L",9,0.263959665898437
"know-dances-?","Jackson_L",8,0.257938293216097
"know-dances-?","Jackson_L",7,0.142293333560047
"know-dances-?","Jackson_L",0,0.108003657722324
"know-dances-?","Jackson_L",6,0.0930854810026442
"know-dances-?","Jackson_L",1,0.0535900092234669
"know-dances-?","Jackson_L",5,0.0330735182316877
"know-dances-?","Jackson_L",2,0.0307557102482973
"know-dances-?","Jackson_L",3,0.0118081003564629
"know-dances-?","Jackson_L",4,0.0054922305405362
"know-dances-?","Jayden_H",9,0.347661107672424
"know-dances-?","Jayden_H",8,0.232194679780027
"know-dances-?","Jayden_H",7,0.197940763040722
"know-dances-?","Jayden_H",6,0.116779523837864
"know-dances-?","Jayden_H",5,0.0670644024377493
"know-dances-?","Jayden_H",4,0.0197311671389532
"know-dances-?","Jayden_H",3,0.00633198659149708
"know-dances-?","Jayden_H",1,0.00478592733165244
"know-dances-?","Jayden_H",0,0.00375522108455539
"know-dances-?","Jayden_H",2,0.00375522108455539
"know-dances-?","Jayden_L",9,0.276878263894433
"know-dances-?","Jayden_L",8,0.22740833944304
"know-dances-?","Jayden_L",0,0.15771225947246
"know-dances-?","Jayden_L",7,0.153461655987163
"know-dances-?","Jayden_L",6,0.0915467221996877
"know-dances-?","Jayden_L",5,0.042962211625829
"know-dances-?","Jayden_L",4,0.0196593389631767
"know-dances-?","Jayden_L",1,0.017814047141418
"know-dances-?","Jayden_L",2,0.00652401609850352
"know-dances-?","Jayden_L",3,0.00603314517428899
"know-dances-?","Jon_H",9,0.345144405950914
"know-dances-?","Jon_H",8,0.237680212298971
"know-dances-?","Jon_H",7,0.203648465956851
"know-dances-?","Jon_H",6,0.122317088436336
"know-dances-?","Jon_H",5,0.0586937150198755
"know-dances-?","Jon_H",4,0.0240719639481071
"know-dances-?","Jon_H",3,0.00408487839617606
